image_name,psnr_degraded,psnr_restored,ssim_degraded,ssim_restored
000002.npy,17.922,17.935,0.1921,0.1923
000008.npy,32.409,32.417,0.9276,0.9277
000013.npy,23.78,23.792,0.3479,0.3483
000026.npy,24.705,24.716,0.7432,0.7433
000029.npy,16.718,16.736,0.3566,0.3569
000047.npy,17.326,17.344,0.4748,0.4752
000060.npy,15.688,15.705,0.2211,0.2214
000079.npy,29.176,29.182,0.6423,0.6426
000086.npy,20.796,20.812,0.6923,0.6925
000102.npy,32.096,32.106,0.7657,0.766
000108.npy,24.935,24.946,0.8573,0.8574
000122.npy,20.36,20.37,0.2532,0.2532
000128.npy,32.286,32.293,0.7489,0.7493
000130.npy,25.241,25.258,0.876,0.8762
000131.npy,17.637,17.655,0.576,0.5763
000177.npy,18.772,18.789,0.2807,0.281
000187.npy,25.069,25.077,0.5506,0.5508
000192.npy,18.216,18.235,0.1286,0.1288
000207.npy,16.306,16.322,0.4662,0.4665
000221.npy,33.661,33.66,0.9221,0.9222
000229.npy,16.252,16.27,0.5867,0.5871
000237.npy,17.136,17.153,0.381,0.3813
000240.npy,22.309,22.323,0.4535,0.4537
000241.npy,27.538,27.529,0.4152,0.4157
000248.npy,16.016,16.027,0.144,0.1441
000260.npy,22.261,22.273,0.572,0.5722
000262.npy,29.048,29.053,0.7064,0.7065
000271.npy,28.732,28.735,0.6178,0.618
000276.npy,17.615,17.618,0.0879,0.088
000283.npy,18.632,18.645,0.3219,0.3221
000284.npy,16.101,16.118,0.3951,0.3954
000290.npy,16.889,16.904,0.4594,0.4597
000292.npy,20.462,20.467,0.2164,0.2165
000308.npy,15.405,15.417,0.0949,0.095
000322.npy,21.834,21.845,0.4589,0.4591
000326.npy,20.281,20.283,0.2477,0.2477
000350.npy,16.526,16.537,0.2556,0.2557
000356.npy,18.006,18.022,0.3549,0.3551
000372.npy,15.635,15.652,0.0977,0.0978
000379.npy,19.184,19.195,0.4767,0.477
000382.npy,16.963,16.98,0.2443,0.2446
000383.npy,31.196,31.208,0.8857,0.8858
000386.npy,24.552,24.565,0.7726,0.7728
000396.npy,23.041,23.058,0.7161,0.7164
000397.npy,29.893,29.884,0.8304,0.8306
000401.npy,24.349,24.366,0.3987,0.3992
000403.npy,28.503,28.514,0.5274,0.528
000413.npy,23.317,23.335,0.8023,0.8026
000418.npy,17.939,17.953,0.1758,0.176
000419.npy,21.571,21.584,0.3374,0.3378
000435.npy,21.786,21.798,0.3149,0.3152
000447.npy,25.004,25.02,0.5426,0.543
000449.npy,23.673,23.686,0.472,0.4724
000456.npy,15.076,15.094,0.2357,0.236
000458.npy,17.923,17.936,0.3308,0.331
000469.npy,18.501,18.514,0.3958,0.3961
000495.npy,26.042,26.058,0.7644,0.7647
000511.npy,17.415,17.427,0.3423,0.3425
000515.npy,26.39,26.403,0.9102,0.9103
000525.npy,21.308,21.324,0.2472,0.2475
000541.npy,15.43,15.442,0.0541,0.0542
000566.npy,17.594,17.613,0.4439,0.4444
000571.npy,18.848,18.864,0.4412,0.4415
000574.npy,19.258,19.254,0.0889,0.0892
000585.npy,15.716,15.733,0.1768,0.177
000626.npy,16.921,16.938,0.8829,0.883
000636.npy,25.015,25.023,0.5783,0.5785
000647.npy,31.96,31.972,0.8969,0.897
000653.npy,22.801,22.813,0.5283,0.5285
000655.npy,23.811,23.821,0.5692,0.5694
000661.npy,25.03,25.042,0.3973,0.3977
000666.npy,17.533,17.525,0.0455,0.0454
000669.npy,15.625,15.642,0.1942,0.1945
000674.npy,22.53,22.545,0.6091,0.6093
000676.npy,18.588,18.599,0.4691,0.4692
000681.npy,21.581,21.592,0.4084,0.4085
000700.npy,16.512,16.519,0.1551,0.1553
000731.npy,20.063,20.079,0.3144,0.3147
000751.npy,23.647,23.66,0.7128,0.713
000779.npy,24.007,24.025,0.7456,0.7459
000784.npy,19.275,19.285,0.3107,0.3109
000787.npy,24.912,24.913,0.3584,0.3584
000814.npy,19.108,19.117,0.4662,0.4663
000823.npy,17.476,17.472,0.0691,0.0691
000858.npy,20.885,20.902,0.2394,0.2398
000864.npy,24.962,24.972,0.855,0.8552
000867.npy,14.557,14.576,0.2273,0.2276
000870.npy,19.282,19.3,0.4046,0.405
000875.npy,28.955,28.971,0.8345,0.8347
000877.npy,31.126,31.135,0.6186,0.6191
000881.npy,28.178,28.191,0.5909,0.5913
000895.npy,17.752,17.771,0.1971,0.1973
000898.npy,16.975,16.989,0.1556,0.1558
000899.npy,20.81,20.825,0.2283,0.2286
000902.npy,30.912,30.894,0.7737,0.7719
000914.npy,21.428,21.441,0.7184,0.7186
000920.npy,16.28,16.284,0.2276,0.2276
000933.npy,20.142,20.148,0.1914,0.1915
000937.npy,14.636,14.654,0.0735,0.0737
000938.npy,15.525,15.542,0.0619,0.062
000942.npy,33.341,33.342,0.7307,0.7311
000952.npy,16.801,16.82,0.2327,0.233
000953.npy,17.234,17.25,0.0942,0.0944
000968.npy,19.129,19.143,0.4997,0.5
000974.npy,24.023,24.029,0.4227,0.4228
000980.npy,18.486,18.497,0.4659,0.4661
000986.npy,29.343,29.302,0.6865,0.6867
000995.npy,20.419,20.434,0.1785,0.1788
001002.npy,20.039,20.057,0.3093,0.3097
001003.npy,15.041,15.059,0.1154,0.1156
001010.npy,16.598,16.607,0.1774,0.1777
001015.npy,24.981,24.959,0.4551,0.4556
001018.npy,19.54,19.554,0.2366,0.2368
001023.npy,26.08,26.09,0.6987,0.6989
001029.npy,15.432,15.449,0.0791,0.0792
001076.npy,15.477,15.496,0.3568,0.3572
001078.npy,22.93,22.941,0.6018,0.6021
001083.npy,18.085,18.096,0.0716,0.0718
001084.npy,19.391,19.397,0.1966,0.1966
001085.npy,27.377,27.371,0.5806,0.58
001086.npy,17.965,17.966,0.1404,0.1405
001092.npy,19.071,19.086,0.4773,0.4776
001093.npy,17.527,17.534,0.1025,0.1027
001096.npy,19.138,19.15,0.4052,0.4055
001105.npy,34.193,34.18,0.8635,0.8636
001126.npy,22.363,22.378,0.4635,0.4638
